
100,[144, 326, 819, 576, 389],0.0,0.0
300,[290, 606, 64, 266, 416],0.0,0.0
110,[328, 251, 926, 825, 414],0.0,0.0
310,[984, 597, 938, 678, 455],0.0,0.0
120,[237, 556, 937, 925, 514],0.0,0.0
320,[730, 467, 820, 29, 885],0.0,0.0
330,[47, 4, 153, 179, 764],0.0,0.0
130,[589, 258, 284, 652, 183],0.0,0.0
340,[899, 475, 811, 618, 259],0.0,0.0
140,[543, 89, 441, 108, 173],0.0,0.0
301,[821, 492, 186, 177, 805],0.0,0.0
101,[941, 963, 28, 151, 306],0.0,0.0
311,[573, 961, 318, 701, 856],0.0,0.0
111,[507, 833, 387, 757, 777],0.0,0.0
321,[521, 824, 67, 225, 643],0.0,0.0
121,[81, 169, 523, 87, 760],0.0,0.0
331,[315, 992, 762, 361, 438],0.0,0.0
131,[299, 913, 917, 262, 11],0.0,0.0
341,[470, 812, 26, 453, 250],0.0,0.0
141,[518, 876, 963, 207, 274],0.0,0.0
302,[844, 29, 231, 242, 241],0.0,0.0
102,[919, 971, 608, 930, 527],0.0,0.0
0,[456, 347, 590, 354, 29],0.0,0.0
312,[681, 841, 617, 549, 352],0.0,0.0
112,[967, 524, 702, 369, 862],0.0,0.0
200,[568, 416, 343, 22, 113],0.0,0.0
10,[206, 194, 426, 854, 745],0.0,0.0
322,[628, 905, 436, 83, 584],0.0,0.0
210,[230, 489, 929, 749, 254],0.0,0.0
122,[0, 478, 103, 253, 558],0.0,0.0
332,[212, 747, 196, 948, 97],0.0,0.0
20,[528, 314, 989, 103, 280],0.0,0.0
132,[257, 473, 998, 443, 344],0.0,0.0
220,[793, 98, 248, 959, 204],0.0,0.0
30,[995, 29, 566, 977, 322],0.0,0.0
342,[966, 255, 351, 197, 184],0.0,0.0
230,[628, 2, 892, 831, 456],0.0,0.0
142,[528, 808, 296, 693, 592],0.0,0.0
40,[785, 94, 210, 235, 495],0.0,0.0
303,[938, 274, 670, 155, 336],0.0,0.0
240,[311, 753, 862, 303, 533],0.0,0.0
103,[977, 69, 50, 397, 324],0.0,0.0
313,[42, 969, 75, 116, 242],0.0,0.0
1,[698, 53, 97, 20, 209],0.0,0.0
201,[637, 331, 677, 99, 963],0.0,0.0
113,[221, 989, 515, 237, 919],0.0,0.0
11,[815, 606, 571, 708, 451],0.0,0.0
323,[655, 206, 638, 76, 173],0.0,0.0
211,[746, 578, 74, 775, 30],0.0,0.0
21,[522, 416, 262, 124, 599],0.0,0.0
123,[573, 319, 364, 694, 300],0.0,0.0
333,[113, 279, 422, 324, 745],0.0,0.0
221,[849, 769, 344, 604, 854],0.0,0.0
31,[297, 437, 620, 591, 770],0.0,0.0
133,[227, 158, 381, 197, 562],0.0,0.0
231,[754, 571, 302, 559, 802],0.0,0.0
343,[215, 353, 635, 766, 873],0.0,0.0
41,[833, 595, 314, 201, 6],0.0,0.0
143,[371, 438, 865, 656, 542],0.0,0.0
241,[503, 843, 70, 700, 965],0.0,0.0
304,[634, 852, 504, 465, 433],0.0,0.0
2,[119, 529, 468, 149, 737],0.0,0.0
314,[275, 100, 384, 36, 68],0.0,0.0
104,[851, 677, 394, 241, 211],0.0,0.0
202,[408, 575, 728, 86, 184],0.0,0.0
12,[197, 70, 580, 92, 737],0.0,0.0
212,[256, 702, 899, 674, 474],0.0,0.0
114,[484, 919, 626, 794, 48],0.0,0.0
324,[397, 784, 271, 906, 705],0.0,0.0
22,[186, 56, 964, 331, 821],0.0,0.0
334,[390, 519, 660, 270, 65],0.0,0.0
222,[223, 949, 24, 738, 237],0.0,0.0
124,[626, 590, 627, 527, 776],0.0,0.0
32,[281, 323, 934, 735, 938],0.0,0.0
232,[946, 692, 695, 693, 348],0.0,0.0
134,[275, 337, 815, 814, 170],0.0,0.0
344,[418, 562, 979, 671, 244],0.0,0.0
42,[824, 940, 717, 856, 891],0.0,0.0
242,[982, 276, 246, 918, 452],0.0,0.0
144,[617, 592, 16, 166, 35],0.0,0.0
305,[328, 175, 664, 361, 506],0.0,0.0
3,[443, 346, 517, 184, 773],0.0,0.0
203,[300, 139, 486, 131, 325],0.0,0.0
105,[121, 311, 461, 267, 642],0.0,0.0
315,[18, 797, 182, 847, 12],0.0,0.0
13,[430, 728, 822, 694, 840],0.0,0.0
213,[982, 186, 65, 723, 357],0.0,0.0
115,[326, 933, 125, 611, 287],0.0,0.0
325,[759, 842, 10, 863, 689],0.0,0.0
23,[697, 551, 277, 149, 987],0.0,0.0
223,[503, 642, 212, 971, 583],0.0,0.0
335,[576, 610, 544, 643, 622],0.0,0.0
125,[812, 27, 608, 867, 415],0.0,0.0
33,[744, 598, 418, 173, 390],0.0,0.0
233,[157, 312, 821, 799, 428],0.0,0.0
135,[659, 993, 955, 183, 614],0.0,0.0
345,[338, 896, 32, 142, 314],0.0,0.0
43,[595, 923, 344, 440, 183],0.0,0.0
243,[983, 919, 502, 357, 6],0.0,0.0
306,[817, 976, 140, 444, 245],0.0,0.0
4,[509, 225, 669, 111, 968],0.0,0.0
145,[853, 96, 986, 785, 776],0.0,0.0
204,[576, 631, 560, 406, 15],0.0,0.0
316,[80, 166, 64, 417, 860],0.0,0.0
14,[370, 116, 373, 704, 337],0.0,0.0
214,[364, 252, 821, 213, 493],0.0,0.0
106,[926, 782, 584, 821, 870],0.0,0.0
326,[661, 743, 557, 212, 809],0.0,0.0
116,[624, 311, 75, 734, 932],0.0,0.0
24,[66, 329, 253, 864, 839],0.0,0.0
224,[795, 257, 60, 525, 173],0.0,0.0
336,[275, 954, 296, 632, 460],0.0,0.0
34,[159, 595, 559, 528, 527],0.0,0.0
234,[167, 510, 519, 671, 850],0.0,0.0
126,[747, 121, 885, 560, 223],0.0,0.0
346,[283, 685, 508, 165, 705],0.0,0.0
136,[460, 802, 926, 163, 213],0.0,0.0
44,[960, 183, 96, 559, 977],0.0,0.0
244,[171, 347, 155, 445, 242],0.0,0.0
307,[857, 303, 901, 914, 439],0.0,0.0
146,[884, 135, 422, 351, 519],0.0,0.0
5,[326, 645, 930, 441, 228],0.0,0.0
205,[63, 359, 898, 261, 188],0.0,0.0
317,[994, 46, 773, 74, 72],0.0,0.0
215,[557, 422, 921, 723, 417],0.0,0.0
15,[877, 798, 384, 974, 589],0.0,0.0
107,[439, 799, 257, 349, 379],0.0,0.0
327,[215, 912, 178, 982, 30],0.0,0.0
117,[40, 14, 281, 632, 725],0.0,0.0
225,[655, 327, 831, 755, 269],0.0,0.0
25,[731, 127, 692, 479, 879],0.0,0.0
337,[112, 320, 914, 167, 542],0.0,0.0
235,[547, 947, 773, 943, 786],0.0,0.0
35,[23, 964, 794, 563, 76],0.0,0.0
127,[251, 151, 439, 198, 784],0.0,0.0
347,[420, 164, 291, 686, 955],0.0,0.0
245,[372, 159, 680, 830, 209],0.0,0.0
137,[73, 846, 478, 233, 797],0.0,0.0
45,[984, 800, 667, 863, 152],0.0,0.0
206,[34, 123, 795, 80, 181],0.0,0.0
6,[380, 71, 799, 791, 165],0.0,0.0
308,[680, 332, 656, 613, 808],0.0,0.0
147,[705, 867, 435, 829, 795],0.0,0.0
216,[73, 81, 911, 257, 831],0.0,0.0
16,[867, 751, 645, 345, 237],0.0,0.0
318,[347, 394, 414, 893, 184],0.0,0.0
226,[334, 406, 640, 490, 805],0.0,0.0
26,[853, 551, 51, 241, 787],0.0,0.0
